Region,Date,Frequency,Unemployment_Rate,Employed,Labour_Participation_Rate,Area,Employment_Rate,Period
Andhra Pradesh,2019-05-31, Monthly,3.65,11999139.0,43.24,Rural,41.66174,Pre-COVID
Andhra Pradesh,2019-05-31,Monthly,6.09,4788661.0,37.45,Urban,35.169295000000005,Pre-COVID
Assam,2019-05-31, Monthly,4.29,11749334.0,57.39,Rural,54.927969,Pre-COVID
Assam,2019-05-31,Monthly,7.87,1671707.0,44.92,Urban,41.384796,Pre-COVID
Bihar,2019-05-31, Monthly,9.27,24322330.0,39.75,Rural,36.065174999999996,Pre-COVID
Bihar,2019-05-31,Monthly,19.9,3029344.0,39.8,Urban,31.8798,Pre-COVID
Chandigarh,2019-05-31,Monthly,18.35,348042.0,44.89,Urban,36.652685,Pre-COVID
Chhattisgarh,2019-05-31, Monthly,9.82,6259019.0,42.89,Rural,38.678202,Pre-COVID
Chhattisgarh,2019-05-31,Monthly,9.77,2223129.0,45.61,Urban,41.153903,Pre-COVID
Delhi,2019-05-31, Monthly,12.56,169487.0,42.33,Rural,37.013352,Pre-COVID
Delhi,2019-05-31,Monthly,12.31,5756475.0,44.17,Urban,38.732673000000005,Pre-COVID
Goa,2019-05-31, Monthly,2.91,179340.0,39.16,Rural,38.020444,Pre-COVID
Goa,2019-05-31,Monthly,2.75,264855.0,34.17,Urban,33.230325,Pre-COVID
Gujarat,2019-05-31, Monthly,2.88,13954728.0,52.03,Rural,50.531535999999996,Pre-COVID
Gujarat,2019-05-31,Monthly,4.09,9686558.0,41.67,Urban,39.965697,Pre-COVID
Haryana,2019-05-31, Monthly,14.54,5249186.0,45.12,Rural,38.559552,Pre-COVID
Haryana,2019-05-31,Monthly,24.67,2693596.0,43.18,Urban,32.527494,Pre-COVID
Himachal Pradesh,2019-05-31, Monthly,13.68,2045760.0,44.23,Rural,38.179336,Pre-COVID
Himachal Pradesh,2019-05-31,Monthly,10.88,245668.0,45.27,Urban,40.344624,Pre-COVID
Jammu & Kashmir,2019-05-31, Monthly,12.78,2495186.0,40.57,Rural,35.385154,Pre-COVID
