Region,Unemployment_Rate
Tripura,28.350357142857142
Haryana,26.283214285714283
Jharkhand,20.585
Bihar,18.91821428571429
Himachal Pradesh,18.540357142857143
Delhi,16.49535714285714
Jammu & Kashmir,16.18857142857143
Chandigarh,15.991666666666667
Rajasthan,14.058214285714286
Uttar Pradesh,12.551428571428572
Punjab,12.031071428571428
Puducherry,10.215
Kerala,10.123928571428573
Tamil Nadu,9.284285714285714
Goa,9.274166666666668
Chhattisgarh,9.240357142857144
West Bengal,8.124642857142858
Telangana,7.737857142857143
Maharashtra,7.5575
Andhra Pradesh,7.477142857142858
Madhya Pradesh,7.406428571428571
Sikkim,7.249411764705882
Karnataka,6.676071428571428
Gujarat,6.663928571428571
Uttarakhand,6.582962962962963
Assam,6.428076923076923
Odisha,5.657857142857142
Meghalaya,4.7988888888888885
