Feature,Importance
cat__Brand_Innova,2.974454088325179
cat__Brand_City,1.1955128387650886
cat__Brand_Land,1.0552799174317837
cat__Brand_Honda,0.9091599658776413
cat__Brand_Eon,0.8271000182970032
cat__Brand_Activa,0.7875103553619931
cat__Transmission_Manual,0.7646198283019556
cat__Transmission_Automatic,0.7646198283019534
cat__Seller_Type_Dealer,0.6649541401079645
cat__Seller_Type_Individual,0.6649541401079593
cat__Brand_Fortuner,0.6586796218118253
cat__Brand_Etios,0.6303342886724888
cat__Fuel_Type_Diesel,0.6123404506636393
cat__Brand_800,0.5855203945639287
cat__Brand_Corolla,0.5538841921641849
